ID,rel_date,actions,rewards,exp_group,exp_phase
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,2,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,2,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,2,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,2,1,experimental,basal
217,9,1,1,experimental,basal
217,9,2,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,2,1,experimental,basal
217,9,2,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,1,1,experimental,basal
217,9,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,1,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,10,1,1,experimental,basal
217,10,2,1,experimental,basal
217,10,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,1,0,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,11,1,1,experimental,basal
217,11,2,1,experimental,basal
217,11,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,2,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,2,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,15,2,1,experimental,basal
217,15,1,1,experimental,basal
217,15,1,1,experimental,basal
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,1,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,1,0,experimental,experimental
217,16,1,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,1,0,experimental,experimental
217,16,1,0,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,1,1,experimental,experimental
217,16,1,1,experimental,experimental
217,16,1,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,1,0,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,1,0,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,1,0,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,1,0,experimental,experimental
217,16,2,1,experimental,experimental
217,16,1,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,16,2,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,0,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,0,experimental,experimental
217,17,2,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,0,experimental,experimental
217,17,2,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,0,experimental,experimental
217,17,2,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,0,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,0,experimental,experimental
217,17,2,0,experimental,experimental
217,17,2,0,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,0,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,1,experimental,experimental
217,17,2,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,0,experimental,experimental
217,17,2,0,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,0,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,0,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,1,experimental,experimental
217,17,2,0,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,1,1,experimental,experimental
217,17,2,1,experimental,experimental
217,17,2,0,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,1,experimental,experimental
217,18,1,0,experimental,experimental
217,18,1,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,1,experimental,experimental
217,18,1,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,0,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,0,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,0,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,0,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,0,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,0,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,1,experimental,experimental
217,18,1,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,18,1,0,experimental,experimental
217,18,1,0,experimental,experimental
217,18,1,0,experimental,experimental
217,18,1,0,experimental,experimental
217,18,1,0,experimental,experimental
217,18,2,1,experimental,experimental
217,18,2,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,2,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,1,1,experimental,experimental
217,21,2,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,2,1,experimental,experimental
217,21,2,0,experimental,experimental
217,21,2,0,experimental,experimental
217,21,1,1,experimental,experimental
217,21,1,1,experimental,experimental
217,22,1,0,experimental,experimental
217,22,1,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,1,experimental,experimental
217,22,1,1,experimental,experimental
217,22,1,1,experimental,experimental
217,22,1,1,experimental,experimental
217,22,1,0,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,1,experimental,experimental
217,22,1,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,0,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,0,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,0,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,0,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,1,experimental,experimental
217,22,1,0,experimental,experimental
217,22,1,0,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,0,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
217,22,1,0,experimental,experimental
217,22,2,1,experimental,experimental
217,22,2,1,experimental,experimental
